Period;Birth_Death;Region;Count
2003;B;Northland region                       ;2022
2003;B;Auckland region                        ;20112
2003;B;Waikato region                         ;5442
2003;B;Bay of Plenty region                   ;3618
2003;B;Gisborne region                        ;702
2003;B;Hawke's Bay region                     ;2079
2003;B;Taranaki region                        ;1374
2003;B;Manawatu-Wanganui region               ;2913
2003;B;Wellington region                      ;6384
2003;B;Tasman region                          ;537
2003;B;Nelson region                          ;528
2003;B;Marlborough region                     ;459
2003;B;West Coast region                      ;333
2003;B;Canterbury region                      ;6258
2003;B;Otago region                           ;2046
2003;B;Southland region                       ;1230
2003;B;Region not stated or
area outside regio;99
2003;B;New Zealand                            ;56133
2003;D;Northland region                       ;1254
2003;D;Auckland region                        ;7164
2003;D;Waikato region                         ;2541
2003;D;Bay of Plenty region                   ;1971
2003;D;Gisborne region                        ;411
2003;D;Hawke's Bay region                     ;1326
2003;D;Taranaki region                        ;921
2003;D;Manawatu-Wanganui region               ;1908
2003;D;Wellington region                      ;2931
2003;D;Tasman region                          ;291
2003;D;Nelson region                          ;369
2003;D;Marlborough region                     ;327
2003;D;West Coast region                      ;267
2003;D;Canterbury region                      ;3867
2003;D;Otago region                           ;1596
2003;D;Southland region                       ;786
2003;D;Region not stated or
area outside regio;75
2003;D;New Zealand                            ;28011
2004;B;Northland region                       ;2070
2004;B;Auckland region                        ;20955
2004;B;Waikato region                         ;5583
2004;B;Bay of Plenty region                   ;3831
2004;B;Gisborne region                        ;750
2004;B;Hawke's Bay region                     ;2163
2004;B;Taranaki region                        ;1317
2004;B;Manawatu-Wanganui region               ;2916
2004;B;Wellington region                      ;6327
2004;B;Tasman region                          ;555
2004;B;Nelson region                          ;579
2004;B;Marlborough region                     ;480
2004;B;West Coast region                      ;399
2004;B;Canterbury region                      ;6630
2004;B;Otago region                           ;2172
2004;B;Southland region                       ;1260
2004;B;Region not stated or
area outside regio;78
2004;B;New Zealand                            ;58071
2004;D;Northland region                       ;1191
2004;D;Auckland region                        ;7242
2004;D;Waikato region                         ;2646
2004;D;Bay of Plenty region                   ;2073
2004;D;Gisborne region                        ;363
2004;D;Hawke's Bay region                     ;1218
2004;D;Taranaki region                        ;918
2004;D;Manawatu-Wanganui region               ;1968
2004;D;Wellington region                      ;2922
2004;D;Tasman region                          ;309
2004;D;Nelson region                          ;381
2004;D;Marlborough region                     ;387
2004;D;West Coast region                      ;255
2004;D;Canterbury region                      ;4179
2004;D;Otago region                           ;1494
2004;D;Southland region                       ;792
2004;D;Region not stated or
area outside regio;84
2004;D;New Zealand                            ;28419
2005;B;Northland region                       ;2067
2005;B;Auckland region                        ;20745
2005;B;Waikato region                         ;5667
2005;B;Bay of Plenty region                   ;3771
2005;B;Gisborne region                        ;777
2005;B;Hawke's Bay region                     ;2115
2005;B;Taranaki region                        ;1410
2005;B;Manawatu-Wanganui region               ;3093
2005;B;Wellington region                      ;6225
2005;B;Tasman region                          ;513
2005;B;Nelson region                          ;519
2005;B;Marlborough region                     ;471
2005;B;West Coast region                      ;336
2005;B;Canterbury region                      ;6603
